order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,customer_name,segment,age,country,city,state,postal_code,region,category,sub_category,product_name
1,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back
3,CA-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
4,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
5,US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,Eldon Fold N Roll Cart System
6,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood
7,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Office Supplies,Art,Newell 322
8,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone
9,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
10,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
11,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Furniture,Tables,Chromcraft Rectangular Conference Tables
12,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Technology,Phones,Konftel 250 Conference phone Charcoal black
13,CA-2017-114412,15-04-2017,20-04-2017,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,Xerox 1967
14,CA-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,Irene Maddox,Consumer,66,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
15,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,Harold Pawlan,Home Office,20,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter
16,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,Harold Pawlan,Home Office,20,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
17,CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176,Pete Kriz,Consumer,46,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D
18,CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,Fellowes Super Stor/Drawer
19,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West,Office Supplies,Art,Newell 341
20,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West,Technology,Phones,Cisco SPA 501G IP Phone
21,CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West,Office Supplies,Binders,Wilson Jones Hanging View Binder  White  1
